Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
9,11,20,17,9,7,6,6,4.5,6,6.5,6.5,9,9,10,10,9,10,10,2,3,4,5.5,3,3.5,3.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1401,2
6,11,16,14,8,5.5,5.5,5,5.5,6,6,6.5,9,9,8,9,10,8,8,3.5,3.5,3,3.5,4,2,1.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1401,7
8,9,15,15,10,4.5,4,4.5,4.5,5,5,4.5,9,8,7,6,8,10,8,4.5,4,2.5,1.5,3,5,3.5,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1401,11
8,7,16,15,9,5,5,5,4.5,5,6,4.5,10,10,10,10,10,10,10,5,5,5,5.5,5,4,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401,34
11,14,21,16,10,6,5,4.5,5,5,5.5,6,9,9,10,10,10,10,9,3,4,5.5,5,5,4.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401,44
3,9,4,10,7,4,4,4.5,4,5,5.5,4.5,9,9,10,10,10,10,8,5,5,5.5,6,5,4.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401,59
5,13,18,16,11,6,4.5,5,5,6,6,4.5,8,9,9,9,9,8,8,2,4.5,4,4,3,2,3.5,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1401,66
7,10,18,13,10,5,4.5,5.5,4,5,6,5.5,8,8,8,8,8,7,8,3,3.5,2.5,4,3,1,2.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1401,68
10,9,14,15,10,5,5,5,5,6,6,5.5,8,10,10,9,9,10,9,3,5,5,4,3,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401,77
8,11,18,15,12,5.5,5,4.5,4,5,5,5.5,7,7,6,6,6,6,8,1.5,2,1.5,2,1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,82
9,10,12,9,6,4,3.5,3,3.5,4,4,3.5,7,5,5,6,6,5,4,3,1.5,2,2.5,2,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1401,94
14,9,19,18,6,6,5,5.5,4.5,5,5,5,9,8,10,10,10,9,9,3,3,4.5,5.5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401,101
9,12,22,13,11,6.5,6,5.5,4.5,5,6.5,8.5,9,8,8,9,8,10,9,2.5,2,2.5,4.5,3,3.5,0.5,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1401,110
